Container has 10000 elements
1. "sKJt5AkLHhxXNY", Hash=88; Replacements: 2 (N-O B-j); Result: "sKJt5AkLHhxXOY"
"Ee3g5vqXgt 5oLiaPNN3", Hash=83.8; Replacements: 2 (D-4 g-A); Result: "Ee3A5vqXAt 5oLiaPNN3"
"1lAzaVQAPnES1z", Hash=84.7143; Shift: 19; Result: "âc
”≤ä
Çs*öâ”"
"TSSv", Hash=92; Replacements: 15 (E-169 1-119 9-2 V-28 f-168 Y-150 I-22 c-120 b-250 e-18 p-187 v-33 Z-210 C-239 U-91); Result: [84 83 83 33]
"ZhzXOy3GaeEiGYE", Hash=88.4667; Replacements: 2 (c-35 B-205); Result: [90 104 122 88 79 121 51 71 97 101 69 105 71 89 69]
"bw5Wzo4H4XZRvZCLqIRk", Hash=87.6; Replacements: 14 (C-p 8-v r-z V-q F-d I-s e-4 k-V 9-F 6-n q-2 Y-K u-C h-M); Result: "bw5Wzo4H4XZRvZpL2sRV"
"DfTkROLui", Hash=91.1111; Replacements: 9 (Q-f J-m H-  d-G g-D v-N 8-a z-A 1-6); Result: "DfTkROLui"
"a8AB5rAGreLjHvNWieQP", Hash=85.3; Replacements: 19 (r-9 5-101 0-131 7-28 A-21 s-126 H-49 M-241 u-35 6-106 z-77 R-142 4-148 G-87 h-13 w-33 T-159 d-122 g-121); Result: [97 56 21 66 101 9 21 87 9 101 76 106 49 118 78 87 105 101 81 80]
"9Yi", Hash=83.6667; Shift: 2; Result: "‰e•"
"Oddgv479ag4Ohno", Hash=88; Replacements: 17 (b-h 4-V n-F o-W C-O q-H 2-a l-f 3-v K-e Y-4 G-g Q-Y x-Z t-d i-U p-w); Result: "OddgvV79agVOhFW"
"cf", Hash=100.5; Replacements: 8 (Z-138 h-234 V-10 K-217 W-64 p-1 9-202 r-248); Result: [99 102]
"VUFzmG", Hash=90.5; Replacements: 5 (w-126 S-142  -251 b-26 j-250); Result: [86 85 70 122 109 71]
"CkSnyZti", Hash=99.875; Replacements: 13 (4-92 D-0 k-187 S-88 w-240 2-191 m-207 f-104 Y-203 5-85 I-36 U-74 p-251); Result: [67 187 88 110 121 90 116 105]
"nXEL4fMEb", Hash=82.3333; Replacements: 4 (V-150 5-110 l-208 v-254); Result: [110 88 69 76 52 102 77 69 98]
" kryPvKh", Hash=93.875; Replacements: 3 (5-U k-9 2-O); Result: " 9ryPvKh"
"waVB", Hash=92; Shift: 1; Result: "Ó¬¨Ñ"
"3WgP9DhrY1peu", Hash=87.0769; Replacements: 8 (j-180 d-30 l-204 w-38 O-97 S-249 t-111 k-253); Result: [51 87 103 80 57 68 104 114 89 49 112 101 117]
"xx", Hash=120; Shift: 14; Result: ""
"qylIFyK1jWoTGhZnVQ4", Hash=90.1053; Replacements: 13 (o-38 0-213 8-18 M-160 V-122 y-212 h-42 N-252 k-56 Z-100 H-146 v-203 6-145); Result: [113 212 108 73 70 212 75 49 106 87 38 84 71 42 100 110 122 81 52]
"e Xq0yDZCl9H1skWz", Hash=85; Shift: 9; Result: " @∞‚`Úà¥ÜÿrêbÊ÷ÆÙ"
"e", Hash=101; Replacements: 17 (Q-17 b-89 E-192 W-51 9-200 3-74 q-25 8-229 k-199 H-92 2-81 f-251 K-228 Z-100 m-220 e-83 T-27); Result: [83]
"imNE3cHMGrengHtuL0wX", Hash=89.75; Replacements: 19 (I-77 F-158 c-215 e-146 W-235 0-230 4-126 j-128 X-186 6-188 Q-29 7-255 B-94 z-54 T-117 a-16 i-68 G-97  -67); Result: [68 109 78 69 51 215 72 77 97 114 146 110 103 72 116 117 76 230 119 186]
"jkzbJqjaDl9FSWcx37JH", Hash=88.35; Shift: 16; Result: "jkzbJqjaDl9FSWcx37JH"
"pF8JNH51wxb8t", Hash=82.5385; Replacements: 7 (h-7 C-195 a-95 l-113 G-199 N-8 9-5); Result: [112 70 56 74 8 72 53 49 119 120 98 56 116]
"LX", Hash=82; Replacements: 9 (Y-4 S-173 P-62 F-17 0-229 p-231 R-124 9-170 4-81); Result: [76 88]
"ULHn", Hash=85.75; Replacements: 10 (B-4 T-p L-6 z-W 1-1 d-s 0-C t-j 4-v F-m); Result: "U6Hn"
"0rWlrQaPn", Hash=93.2222; Replacements: 19 (0-145 o-78 E-169 t-31 L-245 a-138 f-13 U-195 9-255 h-55 A-175 7-46 P-37 K-125 C-180 D-109 V-133 S-35 1-59); Result: [145 114 87 108 114 81 138 37 110]
"1twzYdm", Hash=100.571; Replacements: 13 (T-242 b-231 f-10 r-17  -60 t-46 v-88 U-59 j-212 1-16 Q-53 V-76 i-85); Result: [16 46 119 122 89 100 109]
"aqvRQXG", Hash=92.8571; Replacements: 14 (R-m f-6 F-8 4-r j-4 u-c I-L h-S O-k 0-W X-s W-e r-a m-C); Result: "aqvmQsG"
"zDVjNQ", Hash=90.1667; Replacements: 2 (U-C j-k); Result: "zDVkNQ"
"uxMRxz67Z", Hash=93; Replacements: 13 (v-F O-A w-k b-x 4-V 1-K r-2 q-y t-8 B-U s-s K-g x-w); Result: "uwMRwz67Z"
"bsj", Hash=106.333; Replacements: 5 (g-H Z-S  -2 l-8 r-A); Result: "bsj"
"aJPrkOrsx XSywN sV", Hash=91.8889; Shift: 8; Result: "aJPrkOrsx XSywN sV"
"Km", Hash=92; Shift: 5; Result: "i≠"
"f82Zysp22", Hash=82.8889; Replacements: 14 (l-3 A-1 X-m o-u c-N V-p 2-e Q-E f-L W-h s-J 4-c R-0 v-d); Result: "L8eZyJpee"
"IBxy3tkoI", Hash=93.1111; Replacements: 15 (Y-T U-Q S-E g-5 u-j t-  s-v P-m E-a y-W K-9 H-P M-M A-s p-U); Result: "IBxW3 koI"
"VsdK7dWqaNwYb0gJvon", Hash=93.4737; Replacements: 20 (P-61 I-178 k-134 V-59 S-55 a-102 s-123 A-242 J-125 8-27 Z-227 o-160 Y-203 O-208 q-65 n-124 0-254 6-168 D-167 C-76); Result: [59 123 100 75 55 100 87 65 102 78 119 203 98 254 103 125 118 160 124]
"SqpQfRQB", Hash=90; Replacements: 8 (5-4 l-179 s-67 0-174 6-131 R-150 h-149 g-122); Result: [83 113 112 81 102 150 81 66]
"kZggp6gGOrU 2y", Hash=87.4286; Replacements: 12 (c-44 i-57 L-248 v-93 o-126 p-76 N-96 5-70 a-32 l-37 8-235 J-155); Result: [107 90 103 103 76 54 103 71 79 114 85 32 50 121]
"hATtypagYTcn", Hash=98.6667; Replacements: 19 (C-G f-8 3-n D-o K-a J-A  -S q-  d-3 V-r F-K 5-k u-u S-c 4-L H-d I-J Y-0 z-b); Result: "hATtypag0Tcn"
"kuy0", Hash=98.25; Shift: 3; Result: "[´ÀÅ"
"gglbz4wc", Hash=100.5; Replacements: 2 (c-R O-K); Result: "gglbz4wR"
"8UIxVz2zCLT hrA", Hash=83.7333; Shift: 14; Result: "URïûåû–úP"
"6zko", Hash=98.5; Replacements: 8 (g-2 Y-y I-Q 2-r 5-Z d-O b-6 C-j); Result: "6zko"
"lPUZMW2YnGDO", Hash=82.8333; Replacements: 18 (d-o V-2 L-P M-f W-z 5-h 4-j p-1 y-v 9-l g-7 Z-y m-5 Y-  S-B q-p I-b 8-L); Result: "lPUyfz2 nGDO"
"9dd6bPrkXpLSYL", Hash=88.1429; Replacements: 5 (f-164 n-183 q-121 c-70 k-64); Result: [57 100 100 54 98 80 114 64 88 112 76 83 89 76]
"YKzq6pNsz", Hash=97.7778; Replacements: 7 (A-1 m-129 C-157  -11 y-134 c-60 q-141); Result: [89 75 122 141 54 112 78 115 122]
"UmS", Hash=92.3333; Replacements: 11 (e-g f-X S-9 r-e D-w x-D J-o V-j p-A n-P O-u); Result: "Um9"
"LFhip 5Uhe", Hash=84.2; Shift: 6; Result: "ëZMUY"
"Es", Hash=92; Shift: 18; Result: "Õ"
"LTgiHTw2k9TJVUNh", Hash=85.5; Replacements: 11 (j-170 R-163 r-203 B-249 e-68 L-29 k-103 0-115 D-127 6-240 s-82); Result: [29 84 103 105 72 84 119 50 103 57 84 74 86 85 78 104]
"pRhIJrH", Hash=90.1429; Replacements: 7 (a-232 B-122 C-126 o-35 c-235 s-17 M-113); Result: [112 82 104 73 74 114 72]
"t", Hash=116; Replacements: 6 (C-Z  -E H-m W-3 f-M w-y); Result: "t"
"3fbdbkd", Hash=93.7143; Shift: 13; Result: "fÃLåLmå"
"to2y", Hash=99.5; Replacements: 3 (N-246 S-209 k-236); Result: [116 111 50 121]
"atKA", Hash=88.25; Replacements: 11 (5-251 H-215 2-63 k-253 q-247 B-140 8-24 D-13 v-76 U-117 x-19); Result: [97 116 75 65]
"1vIdXG fPconX1ozW", Hash=87.6471; Replacements: 20 (c-159 O-201 S-235 b-73 d-101 u-146 M-246 C-248 a-52 y-49 Q-126 G-230 3-136 8-148 N-107 B-42 T-184 Z-251 t-120 h-55); Result: [49 118 73 101 88 230 32 102 80 159 111 110 88 49 111 122 87]
"FIxso0kBQDrF6Sr", Hash=86.2667; Shift: 5; Result: "»)nÌmH*àN»∆jN"
"PuZNOn7aX9NDv", Hash=85.7692; Replacements: 4 (I-44 K-190 c-220 9-147); Result: [80 117 90 78 79 110 55 97 88 147 78 68 118]
"reRJ0GmpAKI", Hash=84; Replacements: 3 (a-p n-P  -l); Result: "reRJ0GmpAKI"
"okxzJji4ZIDM1rix9", Hash=91.1765; Shift: 20; Result: "ˆ∂áß§¶ñC•îD‘'ñáì"
"u1", Hash=83; Replacements: 12 (Z-b G-D U-Y 6-Z o-J 4-W Q-e L-A r-n v-9 e-t S-F); Result: "u1"
"pP3v", Hash=90.25; Replacements: 1 (5- ); Result: "pP3v"
"fcAUd9ztUz8 WGT3E", Hash=82.5294; Replacements: 6 (k-5 y-S E-c W-y 5-P q-0); Result: "fcAUd9ztUz8 yGT3c"
"JZ9eJOxjgLw", Hash=90.8182; Replacements: 20 (w-122 n-73 s-160 Y-54 W-131 2-250 N-89 y-34 l-210 z-138 K-139 6-107 a-186 1-192 b-12 k-1 3-163 U-46 8-255 d-164); Result: [74 90 57 101 74 79 120 106 103 76 122]
"bXOef3hjP6", Hash=86.3; Shift: 6; Result: "ò”YôÃöç"
"RVq12cCb4jmgMPmOzYb", Hash=87.7895; Replacements: 10 (7-3 w-8 F-W e-1 1-G l-R J-O Q-S g-Y E-q); Result: "RVqG2cCb4jmYMPmOzYb"
"2NdHo", Hash=82.2; Replacements: 19 (l-120 z-33 o-201 R-26 s-144 C-103 j-18 h-22 2-121 x-160 M-64  -230 f-222 W-28 7-238 N-178 B-126 q-112 8-166); Result: [121 178 100 72 201]
"i0wKi", Hash=90.4; Replacements: 2 (r-Q c-j); Result: "i0wKi"
"uk", Hash=112; Replacements: 2 (v-166  -4); Result: [117 107]
"MZ", Hash=83.5; Shift: 6; Result: "Sñ"
"KyMaR 6jiUtmIyx47mFn", Hash=88.45; Replacements: 11 (V-249 0-79 b-14  -155 N-242 O-107 g-73 T-21 p-116 C-148 K-41); Result: [41 121 77 97 82 155 54 106 105 85 116 109 73 121 120 52 55 109 70 110]
"do0Zz", Hash=94.2; Replacements: 16 (S-N T-Q c-W r-P u-K o-0 b-j e-i i-G O-v J-m A-k 2-a 8-2 t-w H-C); Result: "d00Zz"
"n", Hash=110; Replacements: 4 (h-226 G-179 8-87 v-98); Result: [110]
"ewKGL", Hash=88.4; Replacements: 7 (O-50 Q-214 8-240 t-161 3-56 J-109 V-184); Result: [101 119 75 71 76]
"VWa2U3fEz5ax", Hash=84.9167; Shift: 12; Result: "eu#U3fTßSá"
"UlKFGqwRfljMRBaba", Hash=91.5294; Replacements: 1 (f-w); Result: "UlKFGqwRwljMRBaba"
"52QRqMp5sNuDRzuzmt", Hash=92.6111; Replacements: 11 (p-229 N-165 d-112 5-48 X-132 E-89 x-141 Z-57 8-146 j-79 9-190); Result: [48 50 81 82 113 77 229 48 115 165 117 68 82 122 117 122 109 116]
"AaA3lczqy", Hash=93.4444; Replacements: 16 (j-G F-z g-y c-M R-8 5-0 B-n W-7 1-A p-D K-S Q-k T-d M-j 6-Z 3-m); Result: "AaAmlMzqy"
"uUd", Hash=100.667; Replacements: 17 (Q-i k-h u-g e-N 6-z j-O W-a M-H T-d S-3 v-8 X-2 s-u 2-A U-l O-9 g-W); Result: "gld"
"k1QjpMDOArbI", Hash=85.75; Shift: 14; Result: "⁄LTöS”PúòR"
"k", Hash=107; Replacements: 18 (x-101 b-57 f-93 D-128 H-123 N-237 W-75 a-204 8-148 q-87 X-46 E-134 O-6 K-149 U-76 C-35 s-192 u-167); Result: [107]
"omBKxUgWpnIb4vXO", Hash=92.875; Replacements: 1 (c-212); Result: [111 109 66 75 120 85 103 87 112 110 73 98 52 118 88 79]
"ZysSi2xpMZOg", Hash=95.4167; Replacements: 1 (f-K); Result: "ZysSi2xpMZOg"
"jWSOogG", Hash=91.4286; Replacements: 9 (u-245 w-95 W-66 5-142 4-1 9-72 N-90 a-130 8-86); Result: [106 66 83 79 111 103 71]
"OjfCHrTiRFM0KEgX", Hash=83.8125; Shift: 14; Result: "”öô–úZîëS“QŸ"
"obm4bJS", Hash=89.2857; Replacements: 12 (z-158 H-117 t-175 l-82 X-193 a-132 u-195 3-88 0-103 4-57 v-86 C-12); Result: [111 98 109 57 98 74 83]
"ddkalOwSL2KdonH16", Hash=87.6471; Replacements: 20 (C-10 j-203 a-46 r-70 2-99 Y-104 f-132 H-11 Q-53 E-82 y-103 F-120 R-44 e-205 S-226 n-157 V-20 D-251 N-169 6-64); Result: [100 100 107 46 108 79 119 226 76 99 75 100 111 157 11 49 64]
"3irC", Hash=84.25; Replacements: 16 (M-32 7-77 8-151 F-115 O-47 4-226 J-111 y-98 w-156 Z-71 A-19 i-245 C-13 Q-165 S-104 L-219); Result: [51 245 114 13]
"zr", Hash=118; Replacements: 13 (k-f S-e j-c s-8 D-y N-O u-  K-6 d-s 6-n F-W Y-H r-q); Result: "zq"
"GiP", Hash=85.3333; Replacements: 14 (b-9 u-t q-j j-a X-G t-  V-b D-B p-i M-4 2-v A-F z-D v-g); Result: "GiP"
"stFkN3bNbqrHNVKtWY", Hash=91.1667; Replacements: 7 (v-124 m-156 R-101 K-233 S-203 M-125 k-38); Result: [115 116 70 38 78 51 98 78 98 113 114 72 78 86 233 116 87 89]
"A4Lgqn26PyViIr9qA2Y", Hash=82.9474; Replacements: 18 (9-83 H-99 a-171 v-166 f-145 W-55 x-134  -246 G-6 2-106 A-103 I-199 g-157 M-56 r-239 d-11 5-76 V-126); Result: [103 52 76 157 113 110 106 54 80 121 126 105 199 239 83 113 103 106 89]
"kkcqi 42kkRaPuRvww", Hash=94.0556; Shift: 17; Result: "÷÷∆‚“@hd÷÷§¬†Í§ÏÓÓ"
"xlxGD7HUs7U8h2e7Ls", Hash=83.9444; Replacements: 12 (C-189 N-190 M-54 2-164 G-26 Q-46 1-25 c-51  -129 3-131 j-128 U-8); Result: [120 108 120 26 68 55 72 8 115 55 8 56 104 164 101 55 76 115]
"WQkBWUumOr1cJe", Hash=89.6429; Replacements: 12 (2-32 E-192 a-16 A-232 v-86 j-46 O-215 l-217  -220 8-116 W-41 N-127); Result: [41 81 107 66 41 85 117 109 215 114 49 99 74 101]
"htVwW5CFzHshfs ", Hash=90.9333; Replacements: 10 (3-p Y-x 1-L 2-U f-b n-T 8-8 7-i X-6 6-n); Result: "htVwW5CFzHshbs "
"NIBUUUaUqOE", Hash=83.1818; Replacements: 13 (Z-o j-J R-S I-q 9-7 u-w 5-D 8-M W-k o-L 2-C Y-I D-U); Result: "NqBUUUaUqOE"
"yxqJt", Hash=108.8; Shift: 2; Result: "Â·≈)—"
"9oxO yVEHx3vY3A1hbCP", Hash=81.95; Shift: 12; Result: "ìˆáÙóeTÑá3gï3Ü&4"
"vu6", Hash=96.3333; Shift: 11; Result: "≥´±"
"Nz", Hash=100; Replacements: 20 (G-69 A-138 p-143 1-37 P-32 n-163 q-135 l-23 m-28 N-217 s-53 T-133 i-63 8-24 o-18 L-35 2-121 b-183 J-96 x-65); Result: [217 122]
"OtfcYcoW", Hash=97.75; Shift: 2; Result: "=—ôçeçΩ]"
"X1xLSVP0NVNXYe", Hash=82.1429; Shift: 3; Result: "¬â√bö≤ÇÅr≤r¬ +"
"Rifzd u9IB", Hash=85.6; Replacements: 12 (R-1 v-p N-Y 9-s W-D 0-b 8-O g-  S-I k-Q Q-J U-G); Result: "1ifzd usIB"
"bc", Hash=98.5; Replacements: 13 (l-M c-x 3-A d-d 1-o f-w 6-7 e-W M-k Z-s 5-J H-i Q-t); Result: "bx"
"OvP07sRY8yMP", Hash=83.3333; Replacements: 19 (U-c W-2 P-h z-d F-5 G-L 3-a H-e 0-  Y-R i-A O-V 9-D J-J u-s S-0 h-v t-S C-7); Result: "Vvh 7sRR8yMh"
"JXe aBqYUpZN1V", Hash=82.8571; Shift: 20; Result: "§ÖV$ïU•‰e"
"6sSLT", Hash=82.4; Replacements: 16 (x-i g-K F-b y-t p-a  -z 2-e S-3 d-r R-v w-V Y-j n-p J-W h-y o-k); Result: "6s3LT"
"qDdagW", Hash=94.6667; Shift: 9; Result: "‚à»¬ŒÆ"
"LW70WoEJzvmsTvolHCOJ", Hash=89.2; Shift: 6; Result: "’Õ’€Qíûù[‹ù€–”í"
"sxFtvd0FDrnIyglywy1", Hash=98.1053; Replacements: 6 (i-5 s-v A-c 7-R b-O V-D); Result: "vxFtvd0FDrnIyglywy1"
"gtwVOx joB8DatCbkz", Hash=92.7222; Replacements: 6 (m-13 G-225 W-103 V-193 O-224 N-209); Result: [103 116 119 193 224 120 32 106 111 66 56 68 97 116 67 98 107 122]
"vpEyaw0g FAKqrg6sYJ", Hash=89; Replacements: 15 (h-p B-8 g-i z-w 9-d v-Y r-f p-C X-o c-K R-M a-X L-Q o-x J-u); Result: "YCEyXw0i FAKqfi6sYu"
"QG3KMtySkgpq8DSef", Hash=89.4118; Replacements: 17 (x-107 L-163  -50 6-95 N-146 W-94 S-127 A-209 l-56 e-223 4-67 7-254 P-235 I-34 s-190 n-226 q-239); Result: [81 71 51 75 77 116 121 127 107 103 112 239 56 68 127 223 102]
"Igynv7", Hash=96.6667; Replacements: 8 (X-134 0-157 W-185 g-72 G-97 D-198 5-13 S-238); Result: [73 72 121 110 118 55]
"6LQdCgJssOFLBYOr", Hash=84.875; Shift: 20; Result: "cƒF4v§77Ùdƒ$ïÙ'"
"Sn2mxOHy", Hash=93; Shift: 0; Result: "Sn2mxOHy"
"jlpAAIWa", Hash=89.125; Shift: 13; Result: "Mç(()Í,"
"0oayn", Hash=97.4; Replacements: 10 (V-o 4-D r-O q-V T-B u-K v-x y-R d-F t-A); Result: "0oaRn"
"GQNqUZRsMweF4RpZpY", Hash=89.9444; Shift: 2; Result: "E9≈UiIÕ5›ï–I¡i¡e"
"hODeHLjIQtv1U", Hash=86.7692; Replacements: 9 (T-U b-T O-t a-o y-K 3-A A-D Z-B 5-F); Result: "htDeHLjIQtv1U"
"Pb 5aKSeFntZzkFX", Hash=87; Replacements: 19 (M-X a-8 s-f x-q m-y A-7 5-P C-2 v-E 6-h c-H B-u W-Z R-K z-R H-D F-S g-4 d-Y); Result: "Pb P8KSeSntZRkSX"
"3glTo1MAO uebrX", Hash=85.1333; Replacements: 16 (e-193 5-183 4-5 L-255 A-251 Y-84 h-203 z-36 K-200 I-58 D-96 y-133 b-8 r-17 6-252 2-54); Result: [51 103 108 84 111 49 77 251 79 32 117 193 8 17 88]
"cwLxlzT", Hash=104; Shift: 18; Result: "ç›1·±ÈQ"
"bPBfVxxJyV ", Hash=89.5455; Replacements: 19 (6-q I-a b-w q-f 5-  1-V z-C c-u J-4 o-k  -R 8-j W-G 4-0 p-T X-e f-E D-Y h-1); Result: "wPBEVxx4yVR"
"OMV1wYDPbL", Hash=82.1; Replacements: 17 (O-175 l-0 B-199 S-240 7-79 P-204 v-81 p-61 Q-32 a-140 H-30 q-163 6-104 A-150 y-125 F-170 j-192); Result: [175 77 86 49 119 89 68 204 98 76]
"KvEd9ptZu6IeC", Hash=88.3846; Replacements: 17 (h-117 O-30 o-16 X-70 R-38 Q-154  -202 N-139 1-66 W-74 s-128 T-29 Z-222 5-254 P-130 j-187 f-235); Result: [75 118 69 100 57 112 116 222 117 54 73 101 67]
"lMRw9GS Nkh3rx", Hash=85.9286; Shift: 8; Result: "lMRw9GS Nkh3rx"
"AZUKiZJ JZ4qSgz", Hash=83.5333; Replacements: 8 (n-l O-O 9-J K-N 5-9 u-D P-M c-b); Result: "AZUNiZJ JZ4qSgz"
"SpwuayOv0rz", Hash=102.727; Replacements: 6 (r-159 g-135 4-112 G-179 I-129 E-71); Result: [83 112 119 117 97 121 79 118 48 159 122]
"wiBj4", Hash=89.6; Replacements: 18 (i-176 T-234 S-191 H-229 P-56 d-175 z-206 O-113 K-131 3-208 l-125 s-11 u-24 B-173 p-102 f-80 9-180 N-217); Result: [119 176 173 106 52]
"HU5wO3xq", Hash=86.5; Replacements: 1 (B-A); Result: "HU5wO3xq"
"QYtasqeCB", Hash=93.8889; Replacements: 20 (F-u i-B o-T L-S 1-f n-8 u-E c-p K-j 3-h M-V q-v s-U 8-d t-5 I-r  -t k-W Q-4 7-y); Result: "4Y5aUveCB"
"O3Q5d7uuvOdWQ", Hash=86; Replacements: 15 (N-o P-2 h-q p-P v-U Z-G 1-y K-m 6-8 c-R 9-O 2-Y A-E w-h B-L); Result: "O3Q5d7uuUOdWQ"
"LFO4Tnn", Hash=83; Replacements: 1 (u-Y); Result: "LFO4Tnn"
"WfgGuu", Hash=99.5; Replacements: 5 (M-I p-Y 5-b u-p l-u); Result: "WfgGpp"
"CfleATebqEr", Hash=92.9091; Replacements: 14 (f-U 3-y L-4 S-Y 6-w I-j 5-I u-p Q-m Y-g j-B 0-  q-P B-E); Result: "CUleATebPEr"
"pyG3SHn5A", Hash=82; Replacements: 18 (U-233 H-255 G-175 m-113 F-43 t-105 E-195 e-154 X-0 d-131 A-155 7-109 y-38 D-94 L-223 b-178 0-198 B-79); Result: [112 38 175 51 83 255 110 53 155]
"tBaQvfRLdIJob", Hash=91.8462; Replacements: 4 (P-2 l-M 1-L 2-S); Result: "tBaQvfRLdIJob"
"LsnQb ", Hash=85.3333; Shift: 14; Result: "‹õTò"
"9GJud", Hash=83.8; Replacements: 7 (f-192 z-121 l-253 Q-151 i-208 d-142 s-8); Result: [57 71 74 117 142]
"aYYhtpis6", Hash=97.8889; Replacements: 18 (M-217 L-22 t-180 l-80 a-41 Q-201 P-197 Y-99 5-194 p-97 r-73 w-7  -14 S-183 Z-66 W-147 C-164 A-128); Result: [41 99 99 104 180 97 105 115 54]
"Og2u", Hash=87.25; Replacements: 9 (O-b 3-A I-N e-l 7-B M-m d-u V-q N-E); Result: "bg2u"
"sYvQ5H4NEtrPqylWkYO", Hash=91.6316; Replacements: 5 (U-t P-w 6-X H-s V-0); Result: "sYvQ5s4NEtrwqylWkYO"
"6TM Ojrljh", Hash=86.4; Replacements: 16 (u-u h-X x-s j-H f-m 3-C A-e t-5 T-K d-G 5-a Z-8 b-x J-j e-c z-1); Result: "6KM OHrlHX"
"wfJ2dttERBSqLjPEN4", Hash=86.1667; Replacements: 19 (B-2 V-Y K-T 5-m 8-t b-8 4-I w-r J-V 6-7 T-L d-N y-Q t-G m-g H-a I-F k-6 9-c); Result: "rfV2NGGER2SqLjPENI"
"hZvEMdPrD", Hash=91.1111; Replacements: 11 (A-51 q-139 V-231 x-118 K-3 L-16 e-164 4-109 y-248 k-21 r-34); Result: [104 90 118 69 77 100 80 34 68]
"s5HAF4awIHYRRtnuDbZq", Hash=87.65; Replacements: 18 (z-46 Q-54 q-107 X-203 x-228 m-195 j-242 g-9 C-253 8-39 U-118 y-220 p-110 w-103 H-215 K-246 3-21 F-98); Result: [115 53 215 65 98 52 97 103 73 215 89 82 82 116 110 117 68 98 90 107]
"zs6VqKzn", Hash=99.625; Replacements: 2 (U-41 6-170); Result: [122 115 170 86 113 75 122 110]
"cihJtiGgdxDv6", Hash=95.1538; Replacements: 5 (e-49 N-221 f-115 L-84 C-250); Result: [99 105 104 74 116 105 71 103 100 120 68 118 54]
"1avAAMsqHPi8UuwYWg", Hash=89.5556; Replacements: 14 (x-55 H-206 G-42 T-231 7-146 O-47 B-189 K-32 P-2 Y-145 D-169 v-67 5-56 j-159); Result: [49 97 67 65 65 77 115 113 206 2 105 56 85 117 119 145 87 103]
"w", Hash=119; Replacements: 19 (E-111 l-154 5-90 9-15 z-242 n-244 X-95 W-171 j-214 P-229 K-113 C-54 o-149 D-50 2-21 y-213 A-53 c-62 p-89); Result: [119]
"wVl31UmvgSOSq", Hash=91.2308; Replacements: 8 (8-112 h-231 6-182 Q-251 l-11 a-10 U-8 v-12); Result: [119 86 11 51 49 8 109 12 103 83 79 83 113]
"u1YJcjA", Hash=85.5714; Replacements: 14 (q-I 0-9 H-P Q-X 9-  O-T V-B I-5 y-L C-d u-l 3-2 7-V k-q); Result: "l1YJcjA"
"mNTYjo", Hash=96.1667; Replacements: 0 (); Result: "mNTYjo"
"4xr3Fo", Hash=86.3333; Replacements: 18 (l-189 7-164 M-254 E-139 y-120 w-65 8-209 d-111 u-108 c-133 A-142 1-192 C-249 n-85 z-99 D-56 m-107 W-68); Result: [52 120 114 51 70 111]
"YzueH5C", Hash=88.7143; Shift: 18; Result: "eÈ’ï!‘"
"GMZzFqhleJ0L", Hash=87.8333; Replacements: 13 (Z-R a-v D-Z 0-  1-u u-I 9-2 x-E g-A k-S z-y U-0 m-l); Result: "GMRyFqhleJ L"
"fQgA4e1rNEeHYtB", Hash=83.8667; Replacements: 5 (w-180 S-189 5-141 N-92 O-67); Result: [102 81 103 65 52 101 49 114 92 69 101 72 89 116 66]
"aF0vcLJpzoDIvl0bPr", Hash=90.7778; Replacements: 10 (1-H 6-2 3-P 0-g Q-Q u-m e-s Z-h s-a x-c); Result: "aFgvcLJpzoDIvlgbPr"
"14QfTd4hxl", Hash=85.2; Replacements: 15 (2-12 z-247 k-206 x-127 t-109 y-205 w-186 K-60 1-130 l-176 A-212 p-103 8-57 i-187 m-42); Result: [130 52 81 102 84 100 52 104 127 176]
"xe4IrlfOJURe1WUpmnd4", Hash=89.75; Replacements: 7 (L-141 j-76 o-149 5-130 W-126 t-180 T-94); Result: [120 101 52 73 114 108 102 79 74 85 82 101 49 126 85 112 109 110 100 52]
"qjhYal0Le", Hash=93.5556; Replacements: 5 (O-122 D-83 s-226 Y-35 L-113); Result: [113 106 104 35 97 108 48 113 101]
"mbG1bCiHRgj3UZ7", Hash=82.7333; Replacements: 18 (q-F Y-  E-V y-G s-6 R-o 6-Z n-4 b-L d-a h-K T-n H-B B-5 F-p e-g z-c t-C); Result: "mLG1LCiBogj3UZ7"
"muSHvdX8vy", Hash=98.2; Shift: 7; Result: "∂∫©$;2,;º"
"wKvvF6k3vq4TjZch", Hash=92.375; Replacements: 11 (y-202 P-69 x-65 T-57 A-191 5-208 l-5 Q-169 Y-87 Z-37 r-109); Result: [119 75 118 118 70 54 107 51 118 113 52 57 106 37 99 104]
"WNmftplFfRMijY163", Hash=88.0588; Replacements: 3 (H-239 w-206 k-168); Result: [87 78 109 102 116 112 108 70 102 82 77 105 106 89 49 54 51]
"cw", Hash=109; Replacements: 12 (7-8 L-22 1-94 d-122 c-48 8-91 p-216 O-39 n-123 A-24 2-142 t-69); Result: [48 119]
"I1hxQZBtH4lWm", Hash=86.6923; Replacements: 5 (M-a m-x 3-  N-T P-S); Result: "I1hxQZBtH4lWx"
"kGI", Hash=83.6667; Replacements: 5 (B-42 v-193 u-241 M-16 d-138); Result: [107 71 73]
