Container has 1000 elements
1. "sKJt5AkLHhxXNY", Hash=88; Replacements: 2 (N-O B-j); Result: "sKJt5AkLHhxXOY"
"o", Hash=111; Replacements: 4 (F-Y z-S x-1 H-E); Result: "o"
"Ivn0YkQzPDkRBsGqQk", Hash=91; Replacements: 9 (G-95 y-30 5-246 U-152 E-117 P-185 2-151 x-32 B-231); Result: [73 118 110 48 89 107 81 122 185 68 107 82 231 115 95 113 81 107]
"cmTgaLZSiz", Hash=96.8; Replacements: 1 (x-180); Result: [99 109 84 103 97 76 90 83 105 122]
"LglmDMN7jdcq6d84vl", Hash=87.7778; Replacements: 15 (2-53 D-66 j-167 O-97 8-83 z-214 S-89 6-161  -82 b-188 g-185 a-244 7-18 e-22 k-106); Result: [76 185 108 109 66 77 78 18 167 100 99 113 161 100 83 52 118 108]
"V9xzqaGfolKdZiWuL", Hash=96.2941; Replacements: 12 (C-c f-0 I-Y M-K r-E d-6 h-9 D-g 4-7 g-W W-e K-p); Result: "V9xzqaG0olp6ZieuL"
"zHkF", Hash=92.75; Replacements: 5 (o-d q-8 2-W 4-r A-G); Result: "zHkF"
"XhRYv", Hash=96.2; Replacements: 10 (h-202 j-252 V-244 M-201 O-77 Z-55 i-34 c-157 Y-128 6-223); Result: [88 202 82 128 118]
"7eyJl5P2EXsablNJ", Hash=85.5625; Replacements: 0 (); Result: "7eyJl5P2EXsablNJ"
" AyzXt0GLjs", Hash=87.2727; Replacements: 1 (2-72); Result: [32 65 121 122 88 116 48 71 76 106 115]
"Uc", Hash=92; Replacements: 0 (); Result: [85 99]
"b", Hash=98; Shift: 0; Result: "b"
"oiuFr114S", Hash=83.3333; Replacements: 4 (2-9 d-L e-d z-a); Result: "oiuFr114S"
"b8tWvX7SESxHzbok", Hash=92.6875; Shift: 1; Result: "ƒpËÆÏ∞n¶ä¶êÙƒﬁ÷"
"ScBziD", Hash=90.5; Replacements: 5 (z-43 Y-209 W-181 e-53 b-28); Result: [83 99 66 43 105 68]
"v4FWdfQITjgWf", Hash=89.6154; Replacements: 15 (M-k N-Q f-c 9-  1-t E-z 3-8 L-G m-v y-O z-J R-r q-x X-5 r-u); Result: "v4FWdcQITjgWc"
"iZ15t", Hash=82.6; Replacements: 1 (E-m); Result: "iZ15t"
"GPbxBHkdoU", Hash=91; Replacements: 0 (); Result: "GPbxBHkdoU"
"WY1EuAjtTQvjtjv1Dd", Hash=91.3333; Shift: 4; Result: "uïTW¶GEg¶G¶gDF"
"ouKLKDSqRA2agH3ALsfW", Hash=84.15; Replacements: 3 (X-5 2-e y-U); Result: "ouKLKDSqRAeagH3ALsfW"
"hv6Dya4hDReiz0FNZTB", Hash=85.8947; Replacements: 8 (H-136 m-65 P-146 E-178 c-138 S-164 a-158 0-185); Result: [104 118 54 68 121 158 52 104 68 82 101 105 122 185 70 78 90 84 66]
"k", Hash=107; Shift: 15; Result: "µ"
"DkfU2wtnuq6VIgTWLt", Hash=92.5556; Replacements: 8 (z-210 Q-22 g-237 O-219 U-224 4-45 J-26 P-12); Result: [68 107 102 224 50 119 116 110 117 113 54 86 73 237 84 87 76 116]
"y", Hash=121; Shift: 20; Result: "ó"
"z0w2vYVUFyV8FC9xK", Hash=84.6471; Shift: 13; Result: "OÓFŒ+ ™»/ »h'i"
"lpbbL3gRn9HfbO", Hash=89; Shift: 12; Result: "∆&&ƒ3v%ÊìÑf&Ù"
"HhGqt99iGujJ8vL35OJ", Hash=82.6316; Shift: 11; Result: "BC:ã£……K:´SR¡≥bô©zR"
"tt", Hash=116; Replacements: 10 (G-5 C-f X-v d-S c-F 8-s E-D J-4 F-J P-I); Result: "tt"
"tek88RusH", Hash=91.3333; Shift: 13; Result: "é¨mJÆn	"
"ZZ", Hash=90; Replacements: 16 (Z-f F-Y v-8 y-Z 5-t D-j q-w n-b C-x I-m g-C d-g K-1 o-O U-5 f-A); Result: "ff"
"NWg", Hash=89.3333; Replacements: 15 (A-111 R-240 a-38 N-74 6-220 i-159 k-55 5-69 s-225 z-190 I-97 Z-210 0-100 g-28 f-3); Result: [74 87 28]
"j1lL0sNo", Hash=86.375; Replacements: 9 (U-68 W-31 m-1 p-150 9-32 r-50 X-36 C-54 z-250); Result: [106 49 108 76 48 115 78 111]
"3seKbO7eUsH", Hash=86.0909; Replacements: 1 (M-215); Result: [51 115 101 75 98 79 55 101 85 115 72]
"xWH2CYrq", Hash=89; Replacements: 2 (s-g m-R); Result: "xWH2CYrq"
"ISlvwk No", Hash=92.1111; Replacements: 7 (m-81 8-32 T-189 z-118 v-211 l-1 o-73); Result: [73 83 1 211 119 107 32 78 73]
"zVi ik 9MsrFdi3hp", Hash=87.8824; Shift: 16; Result: "zVi ik 9MsrFdi3hp"
"hG0XwwYDZQTUE", Hash=85.7692; Shift: 5; Result: "ËÓÓ+àK*ä™®"
"1UnGeHXHlVmoOjzDKV", Hash=88.7778; Replacements: 6 (g-123 1-51 y-99 9-142 m-222 G-177); Result: [51 85 110 177 101 72 88 72 108 86 222 111 79 106 122 68 75 86]
"e4r", Hash=89; Shift: 3; Result: "+°ì"
"cmUa1cZaerxool", Hash=99.2857; Shift: 16; Result: "cmUa1cZaerxool"
"k", Hash=107; Replacements: 17 (I-Y R-u 8-Q r-k w-2 W-h 0-n D-J y-w Z-R O-s v-P s-b 1-E H-l C-K f-F); Result: "k"
"4r4hNcxkgWk4Df0", Hash=86.2; Replacements: 12 (L-174 P-218 A-164 m-49 9-248 n-255 C-35 T-16 o-195 q-144 a-214 b-230); Result: [52 114 52 104 78 99 120 107 103 87 107 52 68 102 48]
"wV", Hash=102.5; Shift: 17; Result: "Ó¨"
"BiXw5AfXohvchJnFUH", Hash=90.7222; Replacements: 4 (m-I P-0 H-i S-4); Result: "BiXw5AfXohvchJnFUi"
"KdHa9hrYZQa", Hash=88.7273; Replacements: 14 (T-119 s-170 3-220 O-230 h-38 Y-211 2-113 e-189 g-239 S-142 j-28 l-212 E-204 x-109); Result: [75 100 72 97 57 38 114 211 90 81 97]
"zR", Hash=102; Replacements: 16 (q-109 3-108 x-56 t-240 y-78 W-92 j-247 d-45 1-97 L-2 s-84 Z-25 J-12 S-88 9-248 E-13); Result: [122 82]
"GgteXpi2", Hash=93.25; Shift: 8; Result: "GgteXpi2"
"rxzN", Hash=108.5; Shift: 12; Result: "'áß‰"
"ur2yI2MIv5QDLqxj9", Hash=86.2941; Replacements: 0 (); Result: [117 114 50 121 73 50 77 73 118 53 81 68 76 113 120 106 57]
"3z5Fmtxbw", Hash=95.3333; Replacements: 5 (F-48 J-202 q-191 8-53 L-207); Result: [51 122 53 48 109 116 120 98 119]
"13wlEuYpl1XnTF", Hash=87.3571; Replacements: 14 (U-106 G-52 i-123 K-46 k-79 e-1 5-147 S-100 D-162  -102 a-209 7-205 I-85 F-95); Result: [49 51 119 108 69 117 89 112 108 49 88 110 84 95]
"nyfQ2B", Hash=88.3333; Replacements: 13 (S-J f-R 0-6 7-S 9-P D-b I-Q O-O T-9 p-p Z-t i-s 4-u); Result: "nyRQ2B"
"UOhxFrNyhFTkmM7HU", Hash=90.2353; Replacements: 18 (A-A t-a W-D c-p b-f w-3 p-P 3-1 D-M o-v k-z U-8 8-i 0-  I-X X-T e-R J-6); Result: "8OhxFrNyhFTzmM7H8"
"OeXVabCuVR", Hash=90.1; Replacements: 17 (k-E s-B D-v E-6 K-M N-t m-0 d-Y i-k r-7 t-j j-4 V-p 1-1 2-g C-  R-l); Result: "OeXpab upl"
"AzqtxUIYpmVL", Hash=97.1667; Replacements: 20 (o-n 5-D G-p Z-C Y-4 7-m W-a P-8 8-E j-e d-5 m-k i-w l-6 A-G K-F s-j I-t O-3 3-s); Result: "GzqtxUt4pkVL"
" y2kmU8thHzPnMiVVlwr", Hash=92.95; Shift: 1; Result: "@Úd÷⁄™pË–êÙ†‹ö“¨¨ÿÓ‰"
"Tja", Hash=95.6667; Replacements: 7 ( -62 U-123 F-49 C-59 H-77 M-115 5-147); Result: [84 106 97]
"Nc", Hash=88.5; Shift: 17; Result: "ú∆"
"C1W5srIkb", Hash=84.7778; Replacements: 2 (d-Z T-J); Result: "C1W5srIkb"
"nc", Hash=104.5; Shift: 0; Result: "nc"
"96xyhUzBMV9s", Hash=88.6667; Shift: 5; Result: "'∆/™OH© 'n"
"NjwgdIL6KpWd", Hash=90.25; Shift: 10; Result: "9©›ùë%1ÿ-¡]ë"
"e", Hash=101; Replacements: 1 (v-70); Result: [101]
"gkbbf3R9nQ0d3", Hash=83.6923; Replacements: 20 (d-3 f-114 W-247 l-151 g-103 K-97 S-58 6-239 0-108 p-50 G-20 N-44 h-29  -117 P-225 C-236 H-244 4-92 t-161 y-242); Result: [103 107 98 98 114 51 82 57 110 81 108 3 51]
"G5fqNqeY6okK0qM", Hash=87; Replacements: 16 (t-166 M-96 n-50 u-141 C-1 0-8 8-14 d-209 3-70 1-243 T-48 X-115 m-36 W-20 K-179 Z-128); Result: [71 53 102 113 78 113 101 89 54 111 107 179 8 113 96]
"o0NgQ0e8XC8kRTcdpB", Hash=82.6111; Replacements: 10 (z-f l-E x-g F-o U-z m-9 w-X y-t X-H u-G); Result: "o0NgQ0e8HC8kRTcdpB"
"OqcPBfj1ZquA8SGxKuik", Hash=90.65; Replacements: 0 (); Result: "OqcPBfj1ZquA8SGxKuik"
"oIZ2c45xJpUcBTnYBx", Hash=86.2778; Replacements: 6 (m-253 i-60 y-184 0-0 I-247 w-197); Result: [111 247 90 50 99 52 53 120 74 112 85 99 66 84 110 89 66 120]
"oezgh", Hash=108.2; Replacements: 1 (4-X); Result: "oezgh"
"uMgYzQeKaWu9wUpQw", Hash=96.4118; Replacements: 12 (Q-O 0-S J-m X-x W-j s-Z j-H c-p O-e t-X P-r i-U); Result: "uMgYzOeKaju9wUpOw"
"NVkjjrY", Hash=98; Shift: 1; Result: "ú¨÷‘‘‰≤"
"2ymLql9Je3zTcmao", Hash=92.625; Shift: 10; Result: "»Âµ1≈±‰)ïÃÈQçµÖΩ"
"0cocN", Hash=87; Shift: 4; Result: "6ˆ6‰"
"3IHtGvOxmvi80f", Hash=88.4286; Shift: 18; Result: "Ã%!—Ÿ=·µŸ•‡¿ô"
"hwKJruZqo X8WyFbe", Hash=92.3529; Shift: 19; Result: "CªZRì´“ã{¬¡∫À2+"
"zJcv", Hash=103.25; Replacements: 10 (V-J I-6 T-Q 8-X f-P N-  t-l l-R E-o Z-b); Result: "zJcv"
"oDUQfVuIuy6LqUmdE", Hash=92.1765; Shift: 2; Result: "ΩUEôY’%’Âÿ1≈Uµë"
"BWdqj7", Hash=87.8333; Replacements: 3 (u-E k-y h-3); Result: "BWdqj7"
"SWsC", Hash=88; Shift: 20; Result: "5u74"
"TeT8V41UvtScfs6", Hash=85.6; Replacements: 2 (3-k v-R); Result: "TeT8V41URtScfs6"
"TyYrnz", Hash=106.667; Shift: 11; Result: "¢À ìs”"
"0vd42hblATxNs", Hash=87.6923; Replacements: 12 (4-219 M-247 v-103 Y-226 q-153 e-90 x-47 G-160 O-239 L-172 o-214 0-201); Result: [201 103 100 219 50 104 98 108 65 84 47 78 115]
"CiLbU", Hash=86.2; Replacements: 14 (V-119 O-13 e-118 a-42 E-208 1-49 4-235 G-93 T-128 B-5 8-240 9-108 t-32 j-249); Result: [67 105 76 98 85]
"AqfuQjf0yUzC", Hash=94.0833; Replacements: 14 (u-169 d-92 b-136 m-54 J-194 s-154 S-234 g-137 p-116 x-134 U-144 q-201 0-8 D-86); Result: [65 201 102 169 81 106 102 8 121 144 122 67]
"5x", Hash=86.5; Replacements: 19 (2-3 H-  D-4 P-6 F-x t-p Q-h j-l T-f i-u b-E R-t 0-L y-R l-B 6-Y f-U r-W V-T); Result: "5x"
"wjxQ9Q", Hash=94; Replacements: 11 (i-Y o-9 V-X Z-n M-y G-N v-L s-B R-U j-s Q-t); Result: "wsxt9t"
"5MBLZ2rURiwBGHtvcqS", Hash=87.1053; Shift: 14; Result: "MSêñåúUîZ›ê—ùÿ\‘"
"XxosNgsZk07JWoL47n", Hash=88.6111; Replacements: 13 (0-s 1-0 g-G U-K  -v D-J L-A M-c n-u b-Y a-I 4-Z o-j); Result: "XxjsNGsZks7JWjAZ7u"
"S7BdVyleK", Hash=88.3333; Replacements: 0 (); Result: [83 55 66 100 86 121 108 101 75]
"QdauC4yET", Hash=87.5556; Replacements: 14 (V-192 9-96 B-161 g-133 Y-122 t-233 O-220 G-99 I-250 a-30 F-160 p-163 5-241 E-125); Result: [81 100 30 117 67 52 121 125 84]
"ra8aaYmja8wwez6s6q", Hash=95.2778; Shift: 13; Result: "N,,,+≠M,ÓÓ¨O∆n∆."
"fWCAnOwxtNlQB0EY", Hash=87.75; Shift: 4; Result: "fu4ÊÙwáG‰∆$Tï"
"mjJzDe92TgS3m0gC", Hash=83.4375; Replacements: 5 (b-h L-A l-V w-k M-f); Result: "mjJzDe92TgS3m0gC"
"w9etZUw6avhpDDhf4k", Hash=92.9444; Replacements: 4 (a-  j-u u-i o-A); Result: "w9etZUw6 vhpDDhf4k"
"Y6swp2Q2Yc5eBPlT", Hash=84.375; Replacements: 13 (i-M B-q v-B e-s k-I O-o c-j 7-S F-Q D-1 I-m n-E M-W); Result: "Y6swp2Q2Yj5sqPlT"
"BAzgBvUb3T", Hash=85.8; Replacements: 18 (w-  d-z j-T W-P U-0 r-D 7-m T-d O-X n-g i-t F-9 t-5 B-M z-e 9-6 y-3 4-x); Result: "MAegMv0b3d"
"y2FU32eMu0z0wikO", Hash=84.375; Shift: 10; Result: "Â»UÃ»ï5’¿È¿›•≠="
"uII7KoXhLF", Hash=84.2; Replacements: 0 (); Result: "uII7KoXhLF"
"tNAj", Hash=91.25; Replacements: 10 (y-7 Z-Z b-Q 7-B H-T r-C l-U Y-a w-h E-X); Result: "tNAj"
"IsctrAtxnK", Hash=100.3; Shift: 9; Result: "íÊ∆Ë‰ÇË‹ñ"
"SLzbaXr8Hp", Hash=91.8; Shift: 1; Result: "¶òÙƒ¬∞‰pê‡"
"JbTpHWsXzgy2a61LU", Hash=87.4706; Replacements: 14 (W-180 u-178 B-154 T-14 w-210 P-250 4-238 I-139 f-120 d-190 o-69 C-57 D-17 S-234); Result: [74 98 14 112 72 180 115 88 122 103 121 50 97 54 49 76 85]
"aGQLlm2hqib", Hash=92; Replacements: 4 (G-  r-D T-1 7-q); Result: "a QLlm2hqib"
"OqJ", Hash=88.6667; Replacements: 19 (Q-106 s-56  -140 6-14 E-97 y-132 2-213 e-24 f-23 i-200 S-149 b-98 9-143 u-95 1-128 Z-25 A-167 z-231 a-255); Result: [79 113 74]
"H6W0qIwjUVVB", Hash=82.9167; Replacements: 1 (M-224); Result: [72 54 87 48 113 73 119 106 85 86 86 66]
"wLZkl", Hash=100; Replacements: 7 (e-245 9-239 v-143 3-191 P-19 1-170 S-56); Result: [119 76 90 107 108]
"GC2fJhrn", Hash=86.5; Shift: 2; Result: "»ô)°…π"
"fo", Hash=106.5; Replacements: 14 (c-T z-F X-u g-Z F-U 8-S V-n J-w b-m Q-g H-  L-M p-o m-l); Result: "fo"
"IWCg8wQFsJei8", Hash=85.1538; Replacements: 12 (x-7 c-k k-I M-u i-E m-3 s-N t-x G-9 q-l H-c E-F); Result: "IWCg8wQFNJeE8"
"xn ZRgW39la Xgcq4", Hash=83.7647; Replacements: 0 (); Result: "xn ZRgW39la Xgcq4"
"7aepvjbbWJlz", Hash=98; Replacements: 14 (c-c W-E H-C C-3 9-5 b-n t-I q-H D-V d-U J-6 R-a j-2 Q-l); Result: "7aepv2nnE6lz"
"KgRquYEryH", Hash=95.5; Replacements: 6 (F-189 S-110 d-253 f-161 B-233 D-106); Result: [75 103 82 113 117 89 69 114 121 72]
"s rRtu", Hash=96; Replacements: 7 (4-i V-x p-A N-n o-P A-h n-C); Result: "s rRtu"
"j8FSsZFi", Hash=86.875; Shift: 10; Result: "©‡MÕi•"
"i18mOokfrY7Pvs8Lg", Hash=89.6471; Replacements: 13 (T-109 I-248 8-46 u-41 p-221 O-152 h-153 n-247 A-117 Y-243 C-114  -70 o-189); Result: [105 49 46 109 152 189 107 102 114 243 55 80 118 115 46 76 103]
"VHSz79ArAbKqgON7", Hash=82.5; Shift: 2; Result: "Y!MÈ‹‰…â-≈ù=9‹"
"q9imbSjg", Hash=96.75; Replacements: 8 (u-189 k-143 X-69 E-174 j-88 b-7 B-246 t-251); Result: [113 57 105 109 7 83 88 103]
"AVfIDKFUMHfkpiqT", Hash=87.25; Shift: 3; Result: "
≤3J"Z2™jB3[ÉKã¢"
"tOywgYJcBe", Hash=96.7; Shift: 10; Result: "—=Â›ùe)ç	ï"
"O xNyHrz06Nb", Hash=84.6667; Replacements: 8 (x-26 W-121 X-127 H-2 k-50 9-89 6-15 o-214); Result: [79 32 26 78 121 2 114 122 48 15 78 98]
"qzcKw8", Hash=97.3333; Replacements: 14 (e-83 I-67 A-252 k-157 2-167 n-86 y-142 Z-78 7-200 s-163 f-6  -56 p-201 N-126); Result: [113 122 99 75 119 56]
"sJixHYy4GhZ75HW2e", Hash=84.1765; Shift: 16; Result: "sJixHYy4GhZ75HW2e"
"UkbauOk", Hash=98.5714; Replacements: 1 (x-164); Result: [85 107 98 97 117 79 107]
"6jMVNIu2enNeoke", Hash=90; Replacements: 5 (F-103 O-8 I-160 o-114 s-33); Result: [54 106 77 86 78 160 117 50 101 110 78 101 114 107 101]
"k9TTjcKP", Hash=86.5; Shift: 13; Result: "m'ääMli
"
"ojd6aVJQZKAc OuX6nGI", Hash=83.1; Shift: 2; Result: "Ω©ëÿÖY)Ei-çÄ=’aÿπ%"
"IizqlmeS6uyz903", Hash=92.2667; Shift: 7; Result: "§¥=∏6∂≤©∫º=úô"
"8v4FvrEUqD", Hash=86.3; Replacements: 9 (p-99 J-39 S-166 D-146 H-129 i-48 7-207 6-19 1-132); Result: [56 118 52 70 118 114 69 85 113 146]
"Bwx", Hash=101.667; Shift: 6; Result: "ê›"
"ggf7XV", Hash=89.5; Shift: 17; Result: "ŒŒÃn∞¨"
"MTRws2", Hash=87.8333; Shift: 18; Result: "5QI›Õ»"
"3FexO uaBe78eNwn", Hash=84.5625; Replacements: 19 (q-y J-O Q-D b-Q c-o 2-Z C-m B-A 3-j p-z H-  x-u K-1 t-s r-a k-U G-2 s-w o-f); Result: "jFeuO uaAe78eNwn"
"nkLw6iXyld", Hash=98.8; Shift: 9; Result: "‹÷òÓl“∞Úÿ»"
"qPYetxXz", Hash=103.625; Replacements: 2 (N-b e-r); Result: "qPYrtxXz"
"dSv3Kiiz2OdptK73", Hash=87.3125; Replacements: 10 (W-14 r-33 l-6 4-13 K-93 M-158 p-55 V-205 u-76 A-236); Result: [100 83 118 51 93 105 105 122 50 79 100 55 116 93 55 51]
"k", Hash=107; Shift: 4; Result: "∂"
"eA2asNDEfSCnhr", Hash=87.3571; Shift: 7; Result: "≤†∞π'"¢3©°749"
"mWbQK", Hash=90; Replacements: 18 (Z-117 B-72  -199 7-242 I-4 O-172 m-229 4-185 G-132 q-34 e-190 f-63 5-124 z-182 w-173 o-148 M-238 S-165); Result: [229 87 98 81 75]
"66n6o9maUAfDWEAfoLc", Hash=82.8947; Replacements: 18 (Y-b k-L m-y a-k j-A Q-E r-W f-U K-7 V-V W-p F-r d-J I-M 9-P p-1 C-8  -c); Result: "66n6oPykUAUDpEAUoLc"
"tcaIxcXJcI", Hash=93.8; Replacements: 9 ( -87 U-249 9-247 4-125 Z-168 p-80 A-255 1-115 E-148); Result: [116 99 97 73 120 99 88 74 99 73]
"PIW4Hww", Hash=86; Shift: 4; Result: "îuCÑww"
"5GUPThhZGo3usCM", Hash=85.3333; Replacements: 1 (B-183); Result: [53 71 85 80 84 104 104 90 71 111 51 117 115 67 77]
"bcZ", Hash=95.6667; Replacements: 6 (r-9 5-163 H-214 m-57 Z-235 J-180); Result: [98 99 235]
"nICuHc8aGx5u4MFy", Hash=85.75; Replacements: 1 (O-5); Result: "nICuHc8aGx5u4MFy"
"fzOJ DQtG", Hash=82.7778; Shift: 17; Result: "ÃÙûî@à¢Ëé"
"dAECnMks", Hash=88.75; Replacements: 13 (X-212 8-254 B-31 b-150 k-141 Z-36 N-86 C-34 S-220 h-233 3-107 n-176 R-146); Result: [100 65 69 34 176 77 141 115]
"vSclT7M", Hash=89.1429; Shift: 18; Result: "ŸMç±Q‹5"
"1pzuql7DOtqP8mlj", Hash=94.4375; Replacements: 17 (A-179 G-80 Y-193 p-26 4-167 v-90 E-189 l-148 0-71 N-111 t-182 8-205 I-208 m-214 k-89 z-0 Z-159); Result: [49 26 0 117 113 148 55 68 79 182 113 80 205 214 148 106]
"w", Hash=119; Replacements: 2 (o-53 n-218); Result: [119]
"o0HoClORzjNv29c sF", Hash=84.7222; Shift: 15; Result: "∑$∑°6ß)=5';ú±π#"
"aPFnbaOQY EOmuHDgDL", Hash=83.8947; Replacements: 14 (L-158 U-165 1-72 g-240 l-52 M-192 K-70  -178 6-140 G-137 x-115 h-34 4-27 Y-2); Result: [97 80 70 110 98 97 79 81 2 178 69 79 109 117 72 68 240 68 158]
"SbQw1ePsNTBrDRfnOMY", Hash=88.1579; Shift: 8; Result: "SbQw1ePsNTBrDRfnOMY"
"Ri", Hash=93.5; Shift: 8; Result: "Ri"
"iRpvpTZ15RdfU7RQ", Hash=87; Shift: 15; Result: "¥)8;8*-òö)23™õ)®"
"i2rl8durEoG6L", Hash=88.0769; Replacements: 13 (L-161 G-193 v-72 E-97 Z-90 s-221 D-191 S-0 M-204 f-14 F-250 q-100 1-138); Result: [105 50 114 108 56 100 117 114 97 111 193 54 161]
"IbjdKx9L0t", Hash=86.9; Replacements: 11 (E-96 Z-27 C-75 W-242 y-65 k-62 A-132 H-126 X-58 j-134 c-152); Result: [73 98 134 100 75 120 57 76 48 116]
"BnwCt", Hash=95.6; Replacements: 16 (p-q X-p j-Y g-x 0-U E-z D-C y-v l-j F-9 Z-R R-O S-n t-   -r 7-5); Result: "BnwC "
"bIjjDqnVLcnfe IkrVVm", Hash=92.75; Shift: 5; Result: "L)MMà.Õ âlÕÃ¨)mN  ≠"
"i0vugewsATJfxwW5YJ", Hash=94.0556; Shift: 9; Result: "“`ÏÍŒ ÓÊÇ®îÃÓÆj≤î"
"xejNmr0", Hash=96.5714; Shift: 14; Result: "Yöì[ú"
"Y LYeAeaIbSojh23m", Hash=84.4118; Replacements: 4 (l-31 n-235 m-79 7-94); Result: [89 32 76 89 101 65 101 97 73 98 83 111 106 104 50 51 79]
"tbENOxphu89", Hash=91.4545; Replacements: 12 (J-220 D-190 6-111 Z-131 m-185 f-224 9-76 t-71 3-16 i-127 p-125 E-171); Result: [71 98 171 78 79 120 125 104 117 56 76]
"ekXXNl0g8zzcNF", Hash=90.5714; Replacements: 1 (O-143); Result: [101 107 88 88 78 108 48 103 56 122 122 99 78 70]
"wb", Hash=108.5; Replacements: 2 (o-115 c-123); Result: [119 98]
"lHvkmlFpLlhwppCWPuz", Hash=100.421; Replacements: 12 (D-b 0-m O-x c-P 4-t l-I Y-r T-G S-B x-5 o-2 k-8); Result: "IHv8mIFpLIhwppCWPuz"
"wrzjjNhmTvth", Hash=106.667; Replacements: 13 (X-R d-o 9-g F-e W-K 8-E H-L 6-O u-7 P-1 y-S 4-H N-h); Result: "wrzjjhhmTvth"
"l6yLDigwj 59p9xr6CT", Hash=84.7368; Replacements: 2 (T-I 2-S); Result: "l6yLDigwj 59p9xr6CI"
"cp7g4HcG", Hash=82.875; Replacements: 12 (d-T s-5 z-1 B-y v-A E-u k-S Q-v N-2 P-E M-t V-P); Result: "cp7g4HcG"
"NLq0qwnmTznehg", Hash=99.2857; Shift: 4; Result: "‰ƒwÊ÷EßÊVÜv"
"AHs1dhfAcqzjUg", Hash=92.8571; Replacements: 0 (); Result: "AHs1dhfAcqzjUg"
"cd0g", Hash=87.5; Replacements: 0 (); Result: [99 100 48 103]
"PJYXLrSmdHgbNHO", Hash=87.6667; Shift: 2; Result: "A)ea1…Mµë!ùâ9!="
"Z", Hash=90; Replacements: 2 (1-233 d-135); Result: [90]
"FvCW", Hash=85.5; Replacements: 0 (); Result: [70 118 67 87]
"s", Hash=115; Replacements: 0 (); Result: [115]
"gqMosYHRtTaJH6cRCb", Hash=89.1667; Shift: 0; Result: "gqMosYHRtTaJH6cRCb"
"gzo3Ey8MGsd", Hash=90.5455; Replacements: 16 (7-42 W-237 Z-85 q-111 5-95  -110 o-187 l-179 J-238 L-230 9-136 X-48 c-6 n-46 A-197 k-73); Result: [103 122 187 51 69 121 56 77 71 115 100]
"ik7qX6fxf6ba3g", Hash=89.2143; Replacements: 8 (8-A  -d z-R X-j Q-a 3-N v-y b-Z); Result: "ik7qj6fxf6ZaNg"
"67bHq2ohi4dc5vR", Hash=84.4; Replacements: 16 (2-3 1-K u-R T-Z K-v J-l f-f t-8 S-6 i-b I-s r-9 B-z y-2 w-E W-a); Result: "67bHq3ohb4dc5vR"
"RfLlx0lSe5cjSl", Hash=91.2143; Replacements: 10 (h-s P-I d-i Q-p x-4 2-8 T-m 1-y M-Y 3-5); Result: "RfLl40lSe5cjSl"
"BavytXkqmv", Hash=105.3; Replacements: 0 (); Result: [66 97 118 121 116 88 107 113 109 118]
"eaKwetvWH", Hash=98.4444; Shift: 17; Result: " ¬ñÓ ËÏÆê"
"ez97iqyqW", Hash=97.1111; Shift: 1; Result: " Ùrn“‚Ú‚Æ"
"i", Hash=105; Replacements: 5 (p-161 C-202 s-111 T-106 O-208); Result: [105]
"cWhbIal O", Hash=86.3333; Shift: 7; Result: "±´41§∞6ß"
"l", Hash=108; Replacements: 4 (H-O h-H l-i D-t); Result: "i"
"Ddzz5f1 ks", Hash=87; Replacements: 14 (Y-  y-U 2-N Z-m U-l h-6 j-k D-q q-J t-D 1-C p-4 g-b  -8); Result: "qdzz5fC8ks"
"xCrjeR", Hash=98.3333; Shift: 10; Result: "·…©ïI"
"ai", Hash=101; Shift: 18; Result: "Ö•"
"foGyF9", Hash=88.6667; Replacements: 4 (E-s L-G T-y G-v); Result: "fovyF9"
"SuvdRH4LaIRxkzL", Hash=91.8; Replacements: 14 (8-r H-0 I-M a-b B-9 q-T Z-7 p-v h-R W-F s-f M-t k-K c-q); Result: "SuvdR04LbMRxKzL"
"6fjojOQrULQw1kfO lYD", Hash=87.4; Replacements: 12 (A-224 G-167 E-234 I-116 U-21 X-165 6-105 O-237 b-174 4-52 a-74 V-3); Result: [105 102 106 111 106 237 81 114 21 76 81 119 49 107 102 237 32 108 89 68]
"1ng", Hash=87.3333; Shift: 14; Result: "LõŸ"
"s2Nsws5ezWL3", Hash=90.1667; Replacements: 2 (O-13  -103); Result: [115 50 78 115 119 115 53 101 122 87 76 51]
"m", Hash=109; Replacements: 10 (Q-185 b-83 J-217 8-232 p-49 h-77 0-151 L-74 u-104 2-103); Result: [109]
"jwE6KJn5G4SPYsR9HhtH", Hash=82.65; Replacements: 14 (y-31 g-114 h-141 j-103 D-245 7-14 2-77 8-222 Z-248 e-185 r-132 5-121 B-108 b-64); Result: [103 119 69 54 75 74 110 121 71 52 83 80 89 115 82 57 72 141 116 72]
"6slqaU5UPS7", Hash=84.3636; Replacements: 14 (C-245 l-12 A-139 M-84 j-157 I-217 r-105 Z-3 H-200 o-152 g-240 U-243 Y-77 f-149); Result: [54 115 12 113 97 243 53 243 80 83 55]
"6qtQuWv5oOkog", Hash=96.1538; Shift: 11; Result: "±ã£ä´∫≥©{z[{;"
"LpUdR2I", Hash=82.5714; Replacements: 19 (q-B 1-Q I-t G-6 X-J u-3 5-h r-0 L-R g-j e-p A-D z-Y a-s  -4 2-w F-E C-S v- ); Result: "RpUdRwt"
